"team","name","conference","division","color","color_name","color_alt"
ARI,Arizona Cardinals,NFC,West,#97233f,red,#000000
ATL,Atlanta Falcons,NFC,South,#a71930,red,#000000
BAL,Baltimore Ravens,AFC,North,#241773,blue,#000000
BUF,Buffalo Bills,AFC,East,#00338d,blue,#c60c30
CAR,Carolina Panthers,NFC,South,#C60C30,light_blue,#101820
CHI,Chicago Bears,NFC,North,#0B162A,blue,#c83803
CIN,Cincinnati Bengals,AFC,North,#fb4f14,red,#000000
CLE,Cleveland Browns,AFC,North,#311D00,black,#ff3c00
DAL,Dallas Cowboys,NFC,East,#041E42,blue,#869397
DEN,Denver Broncos,AFC,West,#FB4F14,red,#002244
DET,Detroit Lions,NFC,North,#0076b6,light_blue,#B0B7BC
GB,Green Bay Packers,NFC,North,#203731,green,#FFB612
HOU,Houston Texans,AFC,South,#03202f,blue,#A71930
IND,Indianapolis Colts,AFC,South,#002C5F,blue,#A2AAAD
JAX,Jacksonville Jaguars,AFC,South,#006778,green,#D7A22A
KC,Kansas City Chiefs,AFC,West,#E31837,red,#FFB81C
MIA,Miami Dolphins,AFC,East,#008E97,green,#FC4C02
MIN,Minnesota Vikings,NFC,North,#4F2683,blue,#FFC62F
NE,New England Patriots,AFC,East,#002244,blue,#C60C30
NO,New Orleans Saints,NFC,South,#D3BC8D,yellow,#101820
NYG,New York Giants,NFC,East,#0B2265,blue,#a71930
NYJ,New York Jets,AFC,East,#125740,green,#000000
LV,Las Vegas Raiders,AFC,West,#000000,black,#A5ACAF
PHI,Philadelphia Eagles,NFC,East,#004C54,green,#A5ACAF
PIT,Pittsburgh Steelers,AFC,North,#FFB612,yellow,#101820
LAC,Los Angeles Chargers,AFC,West,#0080C6,light_blue,#FFC20E
SF,San Francisco 49ers,NFC,West,#AA0000,red,#B3995D
SEA,Seattle Seahawks,NFC,West,#002244,blue,#69BE28
LA,Los Angeles Rams,NFC,West,#003594,blue,#ffd100
TB,Tampa Bay Buccaneers,NFC,South,#D50A0A,red,#34302B
TEN,Tennessee Titans,AFC,South,#0C2340,blue,#4B92DB
WAS,Washington Commanders,NFC,East,#773141,red,#FFB612
